SHA,disease,model,infection,transmission,animal,sum
9e0f1a931626ce9554b73e38693d47de81893dbb,2,1,2,0,0,5
7a7ef5608d59aae1e58b336437110e477d5bdf9a,2,1,1,0,0,4
78924545c40b6498e80f955b1496df19d1e4a324,2,1,1,0,2,4
93438defafc923d1ec78059c50ef42886f9c468e,2,1,1,0,2,4
ef3200d4aa61e70df8a3235f6a54c715ec3690fc,2,1,2,0,0,5
1d207b14f92ffce3c151c86f9483c159065e0646,2,1,6,0,0,9
c5019620a14eff41b9e38d681e0c8aa5cede332d,2,1,1,0,0,4
c4c4622a69c2a7891eb504a87793ad471e9fea55,2,1,3,3,0,6
c73bdd7434fd4b154c77532d01549e81b6bef8b0,2,1,1,1,0,4
679271f66d5c706d5e3f474c1ab843bfaf6a0863,2,1,1,0,1,4
eb84579d04e12484426a03cb27a4799d2c649f04,2,1,3,0,0,6
9a9adb7ec93550f0aa3e85441d69ed3b3d306f75,2,1,1,0,0,4
e9c98a5839a16e9f2e7da5f4b6bdc5c8bf8664a2,2,1,2,0,0,5
f0f3b693ca7df675eec88677a0199624bb0c578f,2,1,2,0,2,5
998c14323b9d83784226729e2dd143a87be21203,2,1,1,0,1,4
ab5871ff14d9d95f23ae40cea1a2dddd7ee38ff5,2,1,2,0,0,5
d05bd9b2a6536a3a64fb6156fc3fc116ec577625,2,1,1,0,0,4
d477028f06fcfa584056f70ee87cd696511d25ff,2,1,3,0,0,6
aacbe6a4b7636a58ee07716296eae9ec499bbc3f,2,1,1,0,0,4
a18d8c68591f272a53e17dc1be216e0cab1749d0,2,1,1,1,0,4
2b7cc2e066ab4f8252246b530424d878b260b108,2,1,1,0,0,4
98a6d580176426d4137aee4aec619a56f1e18f7d,2,1,1,0,0,4
7a8508379d73fc4d775641fc273367e54a6fb26a,2,1,1,0,0,4
0110eaeb5103ac1d44cc2e7aa0f6c0f621e6acc7,2,1,2,0,3,5
c9a9565f4d11b927100349b8a23ff63ed4425c54,2,1,6,4,0,9
4cac4571e13d27c929e3b1bee40b3b2ddd215766,2,1,1,0,0,4
f64a7539cff0d59ff66885154be0f6d105e4a3ad,2,1,3,0,0,6
c15f8c23eedbedf8d48bbc88b8225ae9c9d234bf,1,1,1,0,1,3
dc3d8b94ae9acb1ec585507d0d77164a7f688d10,1,1,2,1,0,4
ff6bd29c8ecd325c4edddb2b050d5f4919db6112,1,1,4,0,0,6
9aef9e1c22896809852ec6c94e413aff33b3d9cf,1,1,1,0,0,3
29b3eaeacecf2bfc95b9a493dbb1ba4b2323dd46,1,1,1,1,0,3
6a8d26d75bd44c7666c9b7ed782c13a57f409122,1,1,4,0,0,6
d485fce0c7ad92a1e1606eb81043bf9e12714562,1,1,5,1,0,7
3cacba057a5c55bfd6d0e821ced60cfe42e57ab6,1,1,2,0,0,4
a891d059692c951d1fb0fb36914fe451f973684a,1,1,1,1,0,3
7107f088cbed45d8a06a026276ccf4d602d50f10,1,1,3,0,0,5
68b8a4f644c4195bd6a89ea7e70cd45072ea979e,1,1,3,0,0,5
435c259a0b1c77cb1fab63dabf76fa1637d8e645,1,1,1,0,0,3
0a41b85153ef8a084f7b3476d4d38832f533e914,1,1,3,0,0,5
fdc201b99c8f08d1e81622ac71114605c5980a8d,1,1,1,0,0,3
f243e05a2d51029218e0c313b20fa57c65104a62,1,1,4,0,0,6
dd75883b3cd3c5b39b7cc9db85f682047961e1a9,1,1,4,0,1,6
14374db205f6934d9cba148624462000bc6ec7be,1,1,5,0,0,7
